full_name,nickname,status,generasi
Abigail Rachel,Aralie,PASSION,12
Adeline Wijaya,Delynn,DREAM,12
Afera Thalia,Fera,TRAINEE,14
Alya Amanda,Alya,LOVE,11
Amanda Sukma,Amanda,DREAM,10
Angelina Christy,Christy,PASSION,7
Anindya Ramadhani,Anindya,LOVE,11
Astrella Virgiananda,Virgi,TRAINEE,13
Aulia Riza,Auwia,TRAINEE,13
Aurellia,Lia,LOVE,10
Aurhel Alana,Lana,LOVE,12
Bong Aprilli,Rilly,TRAINEE,13
Carissa Dini,Carissa,TRAINEE,14
Catherina Vallencia,Erine,PASSION,12
Cathleen Nixie,Cathy,LOVE,11
Celline Thefani,Elin,LOVE,11
Chelsea Davina,Chelsea,DREAM,11
Christabella Bonita,Bella,TRAINEE,14
Cornelia Vanisa,Oniel,PASSION,8
Cynthia Yaputera,Cynthia,LOVE,11
Dena Natalia,Danella,PASSION,11
Desy Natalia,Daisy,PASSION,11
Fahira Putri,Fahira,TRAINEE,14
Fatimah Azzahra,Rara,TRAINEE,14
Febriola Sinambela,Olla,DREAM,7
Feni Fitriyanti,Feni,PASSION,3
Fiony Alveria,Fiony,LOVE,8
Freya Jayawardana,Freya,DREAM,7
Fritzy Rosmerian,Fritzy,LOVE,12
Gabriela Abigail,Ella,DREAM,10
Gendis Mayrannisa,Gendis,DREAM,11
Gita Sekar Andarini,Gita,DREAM,6
Grace Octaviani,Gracie,LOVE,11
Greesella Adhalia,Greesel,DREAM,11
Hagia Sopia,Giaa,TRAINEE,13
Heidi Suyangga,Heidi,TRAINEE,14
Helisma Putri,Eli,DREAM,7
Hillary Abigail,Lily,LOVE,12
Humaira Ramadhani,Maira,TRAINEE,13
Indah Cahya,Indah,LOVE,9
Jacqueline Immanuela,Ekin,TRAINEE,13
Jazzlyn Trisha,Trisha,LOVE,12
Jemima Evodie,Jemima,TRAINEE,13
Jessica Chandra,Jessi,PASSION,7
Jesslyn Elly,Lyn,DREAM,10
Kathrina Irene,Kathrina,PASSION,9
Lulu Salsabila,Lulu,PASSION,8
Marsha Lenathea,Marsha,DREAM,9
Maxine Faye,Maxine,TRAINEE,14
Michelle Alexandra,Michie,LOVE,11
Michelle Levia,Levi,PASSION,12
Mikaela Kusjanto,Mikaela,TRAINEE,13
Mutiara Azzahra,Muthe,PASSION,7
Nayla Suji,Nayla,LOVE,12
Nina Tutachia,Nachia,DREAM,12
Nur Intan,Intan,TRAINEE,13
Oline Manuel,Oline,DREAM,12
Putry Jazyta,Jazzy,TRAINEE,14
Raisha Syifa,Raisha,PASSION,10
Ralyne Van Irwan,Ralyne,TRAINEE,14
Ribka Budiman,Ribka,PASSION,12
Shabilqis Naila,Nala,DREAM,12
Sona Kalyana,Sona,TRAINEE,14
Victoria Kimberly,Kimmy,PASSION,12
